paper_figure,publication_asset_id,paper_source,upstream_source,evidence_type,final_page,scope,min_final_font_pt,placement_gate
1,F01,paper/final/figures/paper_f01_evidence_path.svg,docs/architecture.md;hw/src/main/scala/varp/k26/ClosedLoopVirtualPrototypeTop.scala,closed logical RTL + open physical boundary,2,candidate architecture and implementation boundary,8.102,PASS
2,F02,paper/final/figures/paper_f02_onnx_runtime_graph.svg,experiments/gemma3_1b/projection_trace.csv;src/varp/gemma_dependency_model.py,ONNX-derived shapes + modeled dependencies/placement,3,projection-to-tile mapping and conservative barriers,8.102,PASS
3,F03,paper/final/figures/paper_f03_policy_boundary.svg,src/varp/k26_scheduler_model.py;results/experiments/paired_policy_effects.csv,analytical policy and charged remote-copy service,4,S1/S3 decision and transfer semantics,8.102,PASS
4,F04,paper/final/figures/paper_f04_waveform_identity.svg,evidence/model/gemma3_1b_closed_loop_trace.csv,actual-weight bounded closed-logical-path RTL simulation,5,three representative Gemma INT8 tiles,8.102,PASS
5,F05,paper/final/figures/paper_f05_tail_latency.svg,results/experiments/paired_policy_effects.csv,paired-seed analytical model v2,6,synthetic workload TileJob p95,8.102,PASS
6,F06,paper/final/figures/paper_f06_tradeoff.svg,results/model_level/gemma3_1b_policy_effects.csv;results/model_level/gemma3_1b_placement_sensitivity.csv,dependency-aware placement sensitivity,6,Gemma-shaped TileJob p95/completion trade-off,8.102,PASS
7,F07,paper/final/figures/paper_f07_kicad_coupon_render.png,hardware/kicad/k26_memory_coupon/k26_memory_coupon.kicad_pcb;hardware/kicad/controlled_review.md,KiCad-native routing coupon + bounded checks,7,interface routing coupon; NOT FOR FABRICATION,N/A (native raster),PASS_RASTER_2352x1456
,LEGACY-F03,,build/publication_assets/figures/F03,legacy pre-v11 figure,,technical archive only,,NOT_PLACED
,LEGACY-T01,,build/publication_assets/figures/T01,legacy analytical model,,technical archive only,,NOT_PLACED
,LEGACY-T02,,build/publication_assets/figures/T02,legacy analytical model,,technical archive only,,NOT_PLACED
,LEGACY-T03,,build/publication_assets/figures/T03,legacy mixed evidence,,technical archive only,,NOT_PLACED
,LEGACY-T04,,build/publication_assets/figures/T04,legacy analytical model,,technical archive only,,NOT_PLACED
